,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1004,PTT,2020-11-25 00:00:00+00:00,41.5,42,40.25,41.25,"195,748,500",41.5,42,40.25,41.25,"195,748,500",0,1
1005,PTT,2020-11-26 00:00:00+00:00,42,42,41.25,41.75,"83,353,600",42,42,41.25,41.75,"83,353,600",0,1
1006,PTT,2020-11-27 00:00:00+00:00,41.75,42,41.5,41.5,"54,491,000",41.75,42,41.5,41.5,"54,491,000",0,1
1007,PTT,2020-11-30 00:00:00+00:00,40,41.5,39.75,41.25,"108,599,500",40,41.5,39.75,41.25,"108,599,500",0,1
1008,PTT,2020-01-12 00:00:00+00:00,41,41.5,40.25,40.5,"55,254,600",41,41.5,40.25,40.5,"55,254,600",0,1
1009,PTT,2020-02-12 00:00:00+00:00,41,41.5,40.25,40.25,"73,399,900",41,41.5,40.25,40.25,"73,399,900",0,1
1010,PTT,2020-03-12 00:00:00+00:00,42.25,42.5,40.75,41.5,"96,101,000",42.25,42.5,40.75,41.5,"96,101,000",0,1
1011,PTT,2020-04-12 00:00:00+00:00,43,43.25,42.5,42.5,"92,410,000",43,43.25,42.5,42.5,"92,410,000",0,1
1012,PTT,2020-08-12 00:00:00+00:00,43.25,44,42.25,42.5,"117,678,700",43.25,44,42.25,42.5,"117,678,700",0,1
1013,PTT,2020-09-12 00:00:00+00:00,43,43.5,42.5,43.25,"71,762,300",43,43.5,42.5,43.25,"71,762,300",0,1
1014,PTT,2020-12-14 00:00:00+00:00,42.25,43.5,42.25,42.75,"77,686,300",42.25,43.5,42.25,42.75,"77,686,300",0,1
1015,PTT,2020-12-15 00:00:00+00:00,42.75,43,41.75,42.25,"64,379,400",42.75,43,41.75,42.25,"64,379,400",0,1
1016,PTT,2020-12-16 00:00:00+00:00,42.5,43.25,42.25,43,"52,564,400",42.5,43.25,42.25,43,"52,564,400",0,1
1017,PTT,2020-12-17 00:00:00+00:00,42.25,42.75,42.25,42.75,"35,362,500",42.25,42.75,42.25,42.75,"35,362,500",0,1
1018,PTT,2020-12-18 00:00:00+00:00,42.75,43.25,42.25,42.25,"134,028,200",42.75,43.25,42.25,42.25,"134,028,200",0,1
1019,PTT,2020-12-21 00:00:00+00:00,40.5,42.25,40.5,41.75,"106,732,300",40.5,42.25,40.5,41.75,"106,732,300",0,1
1020,PTT,2020-12-22 00:00:00+00:00,41.25,41.75,40,40.75,"97,200,700",41.25,41.75,40,40.75,"97,200,700",0,1
